PassengerId,Survived
892,0
893,0
894,0
895,1
896,0
897,0
898,0
899,1
900,1
901,0
902,0
903,0
904,1
905,0
906,0
907,0
908,0
909,1
910,0
911,0
912,1
913,0
914,1
915,1
916,1
917,0
918,1
919,0
920,0
921,1
922,0
923,1
924,1
925,0
926,1
927,1
928,0
929,0
930,0
931,1
932,0
933,1
934,0
935,0
936,1
937,0
938,1
939,1
940,1
941,0
942,1
943,0
944,1
945,1
946,1
947,0
948,0
949,0
950,1
951,1
952,0
953,0
954,1
955,0
956,1
957,0
958,1
959,0
960,0
961,1
962,1
963,0
964,0
965,1
966,1
967,1
968,0
969,1
970,0
971,1
972,1
973,1
974,0
975,0
976,0
977,0
978,1
979,1
980,1
981,0
982,0
983,0
984,0
985,0
986,1
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,1
995,0
996,1
997,0
998,1
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,0
1006,1
1007,1
1008,0
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,0
1016,1
1017,0
1018,0
1019,1
1020,1
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,1
1034,1
1035,1
1036,0
1037,0
1038,1
1039,0
1040,1
1041,1
1042,1
1043,0
1044,0
1045,1
1046,0
1047,1
1048,0
1049,0
1050,1
1051,0
1052,0
1053,1
1054,0
1055,0
1056,0
1057,0
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,1
1067,0
1068,0
1069,1
1070,1
1071,1
1072,0
1073,1
1074,0
1075,1
1076,1
1077,0
1078,0
1079,1
1080,0
1081,0
1082,0
1083,1
1084,0
1085,0
1086,1
1087,0
1088,1
1089,1
1090,0
1091,0
1092,1
1093,1
1094,0
1095,1
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,1
1109,1
1110,0
1111,0
1112,1
1113,0
1114,1
1115,0
1116,0
1117,1
1118,0
1119,1
1120,0
1121,0
1122,0
1123,1
1124,0
1125,1
1126,1
1127,0
1128,1
1129,1
1130,0
1131,0
1132,0
1133,0
1134,1
1135,0
1136,0
1137,1
1138,0
1139,0
1140,1
1141,0
1142,1
1143,1
1144,1
1145,0
1146,0
1147,0
1148,1
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,1
1157,0
1158,0
1159,0
1160,0
1161,0
1162,1
1163,1
1164,1
1165,1
1166,0
1167,1
1168,0
1169,0
1170,0
1171,0
1172,0
1173,1
1174,1
1175,0
1176,0
1177,0
1178,0
1179,1
1180,0
1181,0
1182,1
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,1
1190,0
1191,0
1192,0
1193,1
1194,1
1195,0
1196,1
1197,0
1198,0
1199,1
1200,1
1201,1
1202,0
1203,0
1204,0
1205,0
1206,0
1207,1
1208,1
1209,0
1210,1
1211,1
1212,0
1213,0
1214,1
1215,1
1216,1
1217,0
1218,1
1219,1
1220,1
1221,0
1222,0
1223,1
1224,0
1225,1
1226,0
1227,0
1228,1
1229,0
1230,1
1231,0
1232,0
1233,0
1234,0
1235,1
1236,0
1237,1
1238,0
1239,0
1240,0
1241,0
1242,1
1243,0
1244,0
1245,1
1246,1
1247,0
1248,1
1249,0
1250,1
1251,0
1252,0
1253,0
1254,0
1255,1
1256,1
1257,0
1258,0
1259,0
1260,1
1261,1
1262,0
1263,1
1264,0
1265,1
1266,0
1267,1
1268,0
1269,0
1270,0
1271,1
1272,1
1273,1
1274,0
1275,0
1276,1
1277,0
1278,1
1279,0
1280,1
1281,1
1282,1
1283,0
1284,1
1285,0
1286,0
1287,1
1288,0
1289,0
1290,1
1291,0
1292,0
1293,0
1294,1
1295,0
1296,1
1297,1
1298,0
1299,0
1300,0
1301,1
1302,1
1303,1
1304,0
1305,0
1306,1
1307,0
1308,0
1309,1
